"","name","club","topgoals"
"1","Lionel Messi","PSG & Argentina","804"
"2","Robert Lewandowski","Barcelona & Poland","627"
"3","Kylian Mbappe","PSG & France","272"
"4","Cristiano Ronaldo","Al Nassr & Portugal","824"
"5","Kevin de Bruyne","Manchester City & Belgium","162"
"6","Mohamed Salah","Liverpool & Egypt","300"
"7","Karim Benzema","Real Madrid & France","457"
"8","Harry Kane","Tottenham & England","336"
"9","Erling Haaland","Manchester City & Norway","208"
"10","Neymar ","PSG & Brazil","435"
